object_id,Time (MJD),Flux,Flux_err,Filter,Flux_dered,A_lambda,Flux_err_dered,Magnitude,Magnitude_err,SNR,Abs_Magnitude,Abs_Magnitude_k,Time_rest
bregedur_rom_rochben,63180.1391,1.30342892,0.25508872,r,1.347729291894426,0.03628828701513311,0.2637585638163188,23.576058953436544,0.21248497288936105,5.1097081830980215,-16.609043300229857,-16.398943848559973,52064.39151215492
bregedur_rom_rochben,63182.3893,1.34565278,0.15914413,r,1.3913882379755433,0.03628828701513311,0.16455305106630166,23.541444802901054,0.12840499888517629,8.4555602522066,-16.643657450765346,-16.433557999095463,52066.24581788216
bregedur_rom_rochben,63204.891,0.90967789,0.08429707,g,0.9550170551363371,0.05280872076557317,0.08849851187217671,23.95003780357035,0.10061185597687809,10.791334621713425,-16.23506445009605,-16.024964998426167,52084.788627935726
bregedur_rom_rochben,63204.891,1.17774412,0.15360632,r,1.2177727718980056,0.03628828701513311,0.1588270244027642,23.686149973619585,0.14160626240584648,7.667289470901979,-16.498952280046815,-16.288852828376932,52084.788627935726
bregedur_rom_rochben,63213.8917,0.71596993,0.22547547,u,0.7611770879441451,0.06647731105303299,0.23971224833064908,24.196351354304895,0.3419234115933549,3.1753783682100765,-15.988750899361506,-15.778651447691622,52092.2057684384
bregedur_rom_rochben,63213.8917,1.13974972,0.11453369,r,1.1784870348530168,0.03628828701513311,0.11842641094825153,23.721753599812672,0.10910586044938368,9.951218021527115,-16.46334865385373,-16.253249202183845,52092.2057684384
bregedur_rom_rochben,63234.1432,1.22290325,0.23685304,i,1.2533552969648392,0.026705254023253817,0.2427510208074309,23.654880120298696,0.2102863989731202,5.163130901760856,-16.530222133367705,-16.32012268169782,52108.89427276473
bregedur_rom_rochben,63234.1432,1.32524165,0.27353836,z,1.3509301745506253,0.020844564292545914,0.27884063591050867,23.57348336666099,0.22410290292503476,4.844810980076067,-16.61161888700541,-16.401519435335526,52108.89427276473
bregedur_rom_rochben,63243.1439,1.31791702,0.18550393,r,1.3627098070988113,0.03628828701513311,0.19180875641652415,23.56405716867107,0.1528232277673428,7.104523445945324,-16.62104508499533,-16.410945633325447,52116.31141326741
bregedur_rom_rochben,63243.1439,1.13442318,0.33083498,i,1.1626719461680204,0.026705254023253817,0.33907324606771355,23.736422638270014,0.31663626230418845,3.42896987495095,-16.448679615396387,-16.238580163726503,52116.31141326741
bregedur_rom_rochben,63247.6443,1.08643424,0.29522267,r,1.123359491643824,0.03628828701513311,0.30525656895067343,23.773768724386052,0.29503298909684744,3.6800501804282164,-16.41133352928035,-16.201234077610465,52120.020024721875
